"draw","site_index","cover","site"
31,4,45.6569306186772,"Mahe NW Patch"
32,4,46.2543995799589,"Mahe NW Patch"
33,4,46.8123594834216,"Mahe NW Patch"
34,4,47.3309960960912,"Mahe NW Patch"
35,4,47.8098658174628,"Mahe NW Patch"
36,4,48.2538502009668,"Mahe NW Patch"
37,4,48.6705096315646,"Mahe NW Patch"
38,4,49.0562110396886,"Mahe NW Patch"
39,4,49.4136938099742,"Mahe NW Patch"
40,4,49.739163130713,"Mahe NW Patch"
41,4,50.0366611950621,"Mahe NW Patch"
42,4,50.3075444998022,"Mahe NW Patch"
43,4,50.5535828837147,"Mahe NW Patch"
44,4,50.77930951395,"Mahe NW Patch"
45,4,50.9864999953699,"Mahe NW Patch"
46,4,51.1752538200144,"Mahe NW Patch"
47,4,51.3478389004482,"Mahe NW Patch"
48,4,51.5055561700455,"Mahe NW Patch"
49,4,51.6496164035237,"Mahe NW Patch"
50,4,51.7811438738655,"Mahe NW Patch"
51,4,51.9011803792882,"Mahe NW Patch"
52,4,52.0112130342561,"Mahe NW Patch"
53,4,52.1119775360885,"Mahe NW Patch"
54,4,52.2037633750721,"Mahe NW Patch"
55,4,52.2864505768231,"Mahe NW Patch"
56,4,52.3610982887463,"Mahe NW Patch"
57,4,52.4291768043733,"Mahe NW Patch"
58,4,52.4912512355764,"Mahe NW Patch"
59,4,52.5478403107307,"Mahe NW Patch"
60,4,52.5999858743487,"Mahe NW Patch"
61,4,52.6472227579886,"Mahe NW Patch"
62,4,52.6899060635327,"Mahe NW Patch"
63,4,52.7290234563538,"Mahe NW Patch"
64,4,52.764848412491,"Mahe NW Patch"
65,4,52.7974493521888,"Mahe NW Patch"
66,4,52.826996153102,"Mahe NW Patch"
67,4,52.8536227270646,"Mahe NW Patch"
68,4,52.8781965569201,"Mahe NW Patch"
69,4,52.9004401034954,"Mahe NW Patch"
70,4,52.9206484177871,"Mahe NW Patch"
71,4,52.9390435301402,"Mahe NW Patch"
72,4,52.9558649950814,"Mahe NW Patch"
73,4,52.9711805879936,"Mahe NW Patch"
74,4,52.9851124492509,"Mahe NW Patch"
75,4,52.9977850525187,"Mahe NW Patch"
76,4,53.0093117686861,"Mahe NW Patch"
77,4,53.0197958398407,"Mahe NW Patch"
78,4,53.0293312706594,"Mahe NW Patch"
79,4,53.0379702142489,"Mahe NW Patch"
80,4,53.0458187137525,"Mahe NW Patch"
81,4,53.0529680453114,"Mahe NW Patch"
82,4,53.0594724901593,"Mahe NW Patch"
83,4,53.0653901072752,"Mahe NW Patch"
84,4,53.0707914002849,"Mahe NW Patch"
85,4,53.0757063131674,"Mahe NW Patch"
86,4,53.0801769331035,"Mahe NW Patch"
87,4,53.084251525165,"Mahe NW Patch"
88,4,53.0879569324381,"Mahe NW Patch"
89,4,53.0913154696012,"Mahe NW Patch"
90,4,53.0943696473242,"Mahe NW Patch"
91,4,53.0971470221128,"Mahe NW Patch"
92,4,53.0996726599383,"Mahe NW Patch"
93,4,53.1019693605629,"Mahe NW Patch"
94,4,53.1040578617931,"Mahe NW Patch"
95,4,53.1059570254345,"Mahe NW Patch"
96,4,53.1076840065666,"Mahe NW Patch"
97,4,53.1092544076197,"Mahe NW Patch"
